Date;Year;Month;Day;Hour;Central;Unidad;Componente;Generacion_MWh;Tecnologia;Clasificacion;Codigo Central;Subsistema
01/02/2014;2014;2;1;8;Sauzal 50Hz;;;69;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;9;Sauzal 50Hz;;;70;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;10;Sauzal 50Hz;;;56;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;11;Sauzal 50Hz;;;50;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;12;Sauzal 50Hz;;;56;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;13;Sauzal 50Hz;;;60;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;14;Sauzal 50Hz;;;60;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;15;Sauzal 50Hz;;;55;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;16;Sauzal 50Hz;;;55;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;17;Sauzal 50Hz;;;54;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;18;Sauzal 50Hz;;;53;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;19;Sauzal 50Hz;;;54;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;20;Sauzal 50Hz;;;55;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;21;Sauzal 50Hz;;;66;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;22;Sauzal 50Hz;;;70;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;23;Sauzal 50Hz;;;71;Hidráulica de Pasada;Convencional;SAUZAL;SIC
01/02/2014;2014;2;1;24;Sauzal 50Hz;;;70;Hidráulica de Pasada;Convencional;SAUZAL;SIC
